Region,Waterbody Key,Original Name,Zone,Management Units,Note,Similar 1,Score 1,Type 1,Similar 2,Score 2,Type 2
REGION 6 - Skeena,tseax river,TSEAX RIVER,6,6-14,,Tezwa River,0.82,stream,Skeena River,0.78,stream
REGION 7A - Omineca,blackwater river,BLACKWATER RIVER,7,7-10,,Blackwater Creek,0.81,stream,Blackwater Lake,0.77,lake
REGION 7A - Omineca,bobtail lake,BOBTAIL (Naltesby) LAKE,7,7-12,,Trail Lake,0.82,lake,Boreal Lake,0.78,lake
REGION 7A - Omineca,davis bay,DAVIS BAY (in Finlay Reach of Williston Lake),7,7-37,,Davids Lake,0.70,lake,Davies Lake,0.70,lake
REGION 7A - Omineca,dina creek,DINA CREEK,7,7-30,,Nina Creek,0.90,stream,Inati Creek,0.86,stream
REGION 7A - Omineca,dina lake #1,DINA LAKE #1,7,7-30,,Dina Lakes,0.82,lake,Dia Lake,0.80,lake
REGION 7A - Omineca,dina lake #2,DINA LAKE #2,7,7-30,,Dina Lakes,0.82,lake,Dia Lake,0.80,lake
REGION 7A - Omineca,east hautete lake,EAST HAUTETE LAKE,7,7-27,,East Hautête Lake,0.94,lake,Hautête Lake,0.76,lake
REGION 7A - Omineca,endako river,ENDAKO RIVER,7,7-12,,Nechako River,0.80,stream,Snake River,0.78,stream
REGION 7A - Omineca,eye lake,EYE LAKE,7,7-26,,Fyfe Lake,0.82,lake,Eena Lake,0.82,lake
REGION 7A - Omineca,hautete lake,HAUTETE LAKE,7,7-27,,Hautête Lake,0.92,lake,Hat Lake,0.80,lake
REGION 7A - Omineca,klwali lake,KLWALI LAKE,7,7-28,,Klawli Lake,0.91,lake,Lazuli Lake,0.82,lake
REGION 7A - Omineca,little lost lake,LITTLE LOST LAKE,7,7-3,,Little Lake,0.81,lake,Little Heart Lake,0.79,lake
REGION 7A - Omineca,little tomas lake,“LITTLE TOMAS” LAKE,7,7-25,,Little Dismal Lake,0.80,lake,Little Lake,0.79,lake
REGION 7A - Omineca,lower beaverpond lake,“LOWER BEAVERPOND” LAKE (lowermost of the two Beaverpond lakes),7,7-38,,Beaverpond Lakes,0.81,lake,Lower Belle Lake,0.76,lake
REGION 7A - Omineca,mt. milligan lake,“MT. MILLIGAN” LAKE,7,7-28,,Milligan Lake,0.87,lake,Tie Mill Lake,0.73,lake
REGION 7A - Omineca,nation arm,NATION ARM (Williston Lake),7,7-30,,Nation Lakes,0.73,lake,Nation River,0.73,stream
REGION 7A - Omineca,nautley river,NAUTLEY RIVER,7,7-13,,Paul River,0.78,stream,Alces River,0.75,stream
REGION 7A - Omineca,shandy lake,SHANDY LAKE,7,7-5,,Hand Lake,0.90,lake,Shanley Lake,0.87,lake
REGION 7A - Omineca,tebbutt lake,TEBBUTT LAKE,7,7-13,,Tent Lake,0.76,lake,Buth Lake,0.76,lake
REGION 7A - Omineca,thorn creek,THORN CREEK,7,7-39,,Thorne Creek,0.96,stream,Horn Creek,0.95,stream
REGION 7A - Omineca,witch lake,WITCH LAKE,7,7-28,,Tucha Lake,0.80,lake,Etcho Lake,0.80,lake
REGION 7B - Peace,chinaman lake,“CHINAMAN” LAKE,7,7-35,,Chinchaga Lakes,0.79,lake,Norman Lake,0.75,lake
REGION 7B - Peace,chunamun lake,CHUNAMUN LAKE,7,7-35,,Chu Lake,0.76,lake,Chain Lakes,0.75,lake
REGION 7B - Peace,liard river watershed,LIARD RIVER WATERSHED,7,7-53,,Liard River,0.69,stream,Liard River Tributary,0.67,stream
REGION 7B - Peace,radar lake,RADAR LAKE,7,7-20,,Adam Lake,0.84,lake,Adams Lake,0.80,lake
REGION 8 - Okanagan,bighorn reservoir,BIGHORN RESERVOIR (Lakeview Irrigation District),8,8-11,,Big Horn Reservoir,0.97,manmade,McKinley Reservoir,0.69,lake
REGION 8 - Okanagan,bluey lake potholes,“BLUEY LAKE POTHOLES”,8,8-6,,Bluey Lake,0.69,lake,Blue Lake,0.64,lake
REGION 8 - Okanagan,clifford lake,CLIFFORD (Cliff) LAKE,8,8-5,,Ford Lake,0.82,lake,Gulliford Lake,0.81,lake
REGION 8 - Okanagan,five o’clock lake,FIVE O’CLOCK LAKE (approx. 800 m southeast of Cup Lake),8,8-14,,Whitecloud Lake,0.65,lake,Lodwick Lake,0.64,lake
REGION 8 - Okanagan,hall road pond,HALL ROAD (Mission) POND,8,8-10,,Hamilton Pond,0.67,lake,Art Pond,0.64,lake
REGION 8 - Okanagan,headwater lake #1,HEADWATER LAKE #1,8,8-8,,Headwater Lakes,0.88,lake,Headwater Lakes Tributary,0.71,stream
REGION 8 - Okanagan,okanagan river oxbows,OKANAGAN RIVER OXBOWS,8,8-1,,Okanagan River,0.80,stream,Okanagan River Tributary,0.71,stream
REGION 8 - Okanagan,pinaus lake,PINAUS LAKE,,,,,,,,,
REGION 8 - Okanagan,rickey lake,RICKEY LAKE,8,8-5,,Tracey Lake,0.82,lake,Ripley Lake,0.82,lake
REGION 8 - Okanagan,rose valley reservoir,ROSE VALLEY RESERVOIR (Lakeview Irrigation District),8,8-11,,Rose Valley Lake,0.70,lake,McKinley Reservoir,0.67,lake
REGION 8 - Okanagan,sawmill lake,SAWMILL LAKE,8,8-1,,Swalwell Lake,0.80,lake,Saltwell Lake,0.80,lake
REGION 8 - Okanagan,tee pee lakes,TEE PEE LAKES,8,8-6,,Tepee Lakes,0.92,lake,Pete Lake,0.73,lake
REGION 8 - Okanagan,trepanier river,TREPANIER RIVER,8,8-8,,Trépanier Creek,0.73,stream,Granby River,0.67,stream
REGION 8 - Okanagan,unnamed lakes,UNNAMED LAKES (located immediately north and south of Bluey Lake),8,8-6,,Dungate Lakes,0.77,lake,Nahm Lake,0.73,lake
